id,school_id,scheduled_report_id,report_type,format,title,generated_by,generated_at,generation_time_ms,storage_path,file_size_bytes,expires_at,delivery_status,delivered_at,delivery_error,filters,record_count,created_at
16889d56-79ea-4f09-4e7e-ff7adeffa296,59faa8f0-e266-467f-aa62-7fd97008cad7,7234ec59-fc60-4ce0-23de-2ac6d3ce0592,sample_text_4478,sample_text_985,sample_text_7279,ec0480a9-1d12-4588-4d5e-4cf3b4c08e95,2025-09-10T00:42:31.616Z,524,sample_text_594,819,2025-07-18T10:34:16.261Z,sample_text_1206,2025-12-08T01:38:02.356Z,sample_text_3226,sample_text_7373,7686,2025-05-15T23:43:44.660Z
d6cd0dcc-3313-470a-23ce-66bf9b718f08,837a9baf-7fed-4fe4-630e-eeaf60164bcb,a2d85dfe-b21a-4c7f-447a-da8f39df4e15,sample_text_2600,sample_text_3234,sample_text_4978,ffc8ffd2-fd93-474e-a59d-6b479b66e53d,2026-04-02T04:44:18.918Z,46,sample_text_195,675,2026-04-04T16:33:47.330Z,sample_text_3073,2025-12-18T01:20:21.899Z,sample_text_4470,sample_text_2147,8270,2025-10-27T17:54:09.281Z
0bad6442-bcdf-4fa9-9988-4424eecf5888,2e858920-a13b-46d3-3f94-8050bb03f098,26e21ff5-5ea4-4398-fc41-06b008c463fb,sample_text_16,sample_text_8329,sample_text_6812,d5066c43-e9aa-4c5f-2658-968f3fbba32f,2025-08-02T04:14:22.002Z,814,sample_text_8618,440,2025-12-27T20:08:25.354Z,sample_text_9715,2026-03-06T17:28:29.874Z,sample_text_9446,sample_text_3162,9804,2025-08-23T22:10:22.293Z
4a6eae98-99f3-4ba5-811a-2b13bc0e5ac4,314cdd92-266e-488d-cf88-6e18f6db8ca6,111c085a-6f28-4b2a-a108-52cd7549e417,sample_text_7915,sample_text_6801,sample_text_7281,64d83953-9e4f-4f1c-16ef-8b5476be654b,2025-10-13T23:44:57.569Z,329,sample_text_702,677,2026-02-03T18:51:20.523Z,sample_text_8773,2025-08-18T00:02:29.876Z,sample_text_6674,sample_text_2213,3593,2026-03-19T14:44:27.306Z
1fb647bb-4e44-43f7-a3f8-b80dfa963e0d,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,09e2485a-b36b-473b-ae49-79585cd5f651,sample_text_1548,sample_text_3859,sample_text_7095,b7fbfb9a-9423-422c-de88-f9c6e9b02b27,2026-01-30T02:22:37.827Z,786,sample_text_8462,57,2025-05-25T00:08:55.778Z,sample_text_1411,2025-05-10T19:54:58.479Z,sample_text_5182,sample_text_1887,3969,2026-03-22T21:13:54.239Z
1818689a-0fcf-4901-ec6a-c18ff2ef786b,94519cc1-bdc7-4549-769e-8964efcea7c6,07a16675-23e5-43a4-cbf7-a5010ffea499,sample_text_145,sample_text_4218,sample_text_4184,9b9fcb52-9e14-4944-60e9-ad7963250482,2026-01-13T20:52:31.992Z,373,sample_text_8257,126,2025-04-30T00:54:30.381Z,sample_text_8965,2025-12-08T19:41:39.748Z,sample_text_5823,sample_text_6360,1213,2026-04-05T12:27:19.651Z
423caf2a-4fed-42ab-d7f7-c2f72c547aa3,5b1b6bbb-ac85-477d-9a11-d480281a4b21,7c5b184c-9050-44a8-16f2-7604e8058e38,sample_text_3643,sample_text_7591,sample_text_2646,12339cb5-ef47-4b25-9657-1f3d4afe6867,2025-06-21T16:43:48.762Z,32,sample_text_7770,648,2025-08-13T12:09:34.004Z,sample_text_1467,2025-08-29T13:50:07.492Z,sample_text_925,sample_text_5590,839,2025-05-08T16:23:14.353Z
92f60916-2d81-449b-3c88-2e916d50ad93,2e842555-494e-4eac-25b2-d2a4430cc9ed,79e5f044-5921-46af-e429-0e1abee3f676,sample_text_5698,sample_text_895,sample_text_3295,371077de-c9e2-4008-f4f2-592a5634a556,2025-04-23T03:45:20.849Z,962,sample_text_341,949,2025-06-10T03:54:49.249Z,sample_text_5481,2025-09-27T21:44:41.464Z,sample_text_9266,sample_text_2277,8354,2026-01-03T19:10:34.747Z
c8834a14-041c-4dd1-c262-9b2050ce9b97,f0fe80e2-ee98-4631-fd46-bedaa4937130,5e476ebc-c171-4a0e-10da-4c9b164da5e2,sample_text_8824,sample_text_2028,sample_text_817,e1bd04cb-f3e5-4092-73c5-47410a884bc4,2025-05-02T15:41:15.232Z,464,sample_text_3144,967,2025-10-07T09:32:05.994Z,sample_text_693,2025-09-17T08:53:29.787Z,sample_text_8059,sample_text_5977,4659,2025-11-10T14:02:20.402Z
6bfc567c-4b48-4ae2-7ad7-7266e95a76cd,aed83b90-feeb-480d-e57c-176768104c81,d17ef6c7-bb7a-410d-7fea-7091a4310c01,sample_text_9344,sample_text_6178,sample_text_9681,559485c8-7c48-4caf-dbb9-b6ffc9450f44,2025-04-17T01:58:52.609Z,78,sample_text_1787,950,2025-08-31T02:32:32.884Z,sample_text_4743,2025-09-23T12:14:55.002Z,sample_text_4256,sample_text_7722,3950,2025-05-14T05:36:04.617Z
76437ca9-777b-4be0-c48d-e0f492b5dcd8,13905047-dc05-4f11-21d1-ceb2ff2a4ead,cec22922-4a74-466b-ac47-f388cacfed91,sample_text_6317,sample_text_5542,sample_text_5926,1a79b37b-3ddb-499d-7292-5335fcf88a36,2025-08-25T22:31:37.168Z,388,sample_text_7166,538,2025-12-13T06:40:17.975Z,sample_text_4736,2025-05-22T23:00:28.217Z,sample_text_1666,sample_text_8978,7691,2026-03-21T00:16:03.343Z
